,Location,Scale,npn_mobility_docs_score
8eb8-TransformTO-Report-1-Attachment-to-Business-Cases-December-2016.txt,Cities,Municipal,0.5294952988624573
TransportationPlan.txt,Cities,Municipal,0.837386965751648
99a5-Program-Map-TAF.txt,Cities,Municipal,0.6790997982025146
Transportation_2040_Plan_as_adopted_by_Council.txt,Cities,Municipal,0.8053270578384399
SustainableTransportation.txt,Cities,Municipal,0.6794453859329224
C532.txt,Cities,Municipal,0.5218596458435059
8ec2-TransformTO-Attachment-to-Short-Term-Strategies-Financial-Estimates-January-2017.txt,Cities,Municipal,0.5285467505455017
8c7e-FINAL-2017-TTC-Public-Book-Operating-Program-Summary.txt,Cities,Municipal,0.9994727373123169
Transportation.txt,Cities,Municipal,0.9992530941963196
968d-TransformTO-Report-1-Attachment-A-Short-Term-Strategies-Business-Cases-December-2016.txt,Cities,Municipal,0.5295014977455139
8b4a-FREEE-2018-Op-Budget-Notes-V3.txt,Cities,Municipal,0.9995187520980835
8eff-Fleet-2018-Op-Public-Book.txt,Cities,Municipal,0.999157726764679
GreenLineSummary.txt,Cities,Municipal,0.863611102104187
96ad-TransformTO-2017-Capital-Budget-Briefing-Note-January-2017.txt,Cities,Municipal,0.5022286772727966
9141-FREEE-2018-Op-Public-Book.txt,Cities,Municipal,0.9994786381721497
TransportationMasterPlan.txt,Cities,Municipal,0.9742075204849243
backgroundfile-109987.txt,Cities,Municipal,0.9817301034927368
170221rc1411.txt,Cities,Municipal,0.5061500668525696
2011-11-01-TTRWinnipegTMP-Final-Report.txt,Cities,Municipal,0.5148520469665527
970f-TAF-2018-Op-Public-Book.txt,Cities,Municipal,0.997870147228241
8feb-Fleet-2018-Op-Budget-Notes-V1.txt,Cities,Municipal,0.9991085529327393
