,Location,Scale,npn_mobility_docs_score
Transportation_Planning.txt,Cities,Municipal,0.6797224879264832
strategy.txt,Cities,Municipal,0.9850671291351318
PlanningDeveopment.txt,Cities,Municipal,0.7497557401657104
160114essc1212.txt,Cities,Municipal,0.5884206295013428
FourYearPlan.txt,Cities,Municipal,0.8950350284576416
Transportation.txt,Cities,Municipal,0.9921525120735168
ClimateResilience.txt,Cities,Municipal,0.7691016793251038
strategy_strategic_framework.txt,Cities,Municipal,0.9971862435340881
strategy_implementation_monitoring.txt,Cities,Municipal,0.9997167587280273
DirectDownload.aspx.txt,Cities,Municipal,0.7685573101043701
160621ca14113Revised.txt,Cities,Municipal,0.5428205132484436
Paper5-pcc-brief-climate-resilient-city-transportation-infrastructure.txt,Cities,Municipal,0.6680644750595093
170221rc1411.txt,Cities,Municipal,0.6989765167236328
