,Location,Scale,npn_mobility_docs_score
strategy.txt,Cities,Municipal,0.8907448053359985
994a-TransformTO-Community-Engagement-Report-2015-–-2016.txt,Cities,Municipal,0.8438580632209778
PlanningDeveopment.txt,Cities,Municipal,0.6065935492515564
8ea2-TransformTO-Report-1-Attachment-B-TransformTO-Phase-1-Community-Engagement-Report-November-2016.txt,Cities,Municipal,0.8456982970237732
8723-TransformTO-University-of-Toronto-Scarborough-Campus-TransformTO-Conversation.txt,Cities,Municipal,0.9607083797454834
8800-TransformTO-TT-Transportation-Workbook-Summary-AODA.txt,Cities,Municipal,0.572568416595459
strategy_strategic_framework.txt,Cities,Municipal,0.6910779476165771
strategy_implementation_monitoring.txt,Cities,Municipal,0.9995946288108826
