,Location,Scale,npn_mobility_docs_score
strategy.txt,Cities,Municipal,0.9999473690986633
Capital_City_Downtown_Plan_May_27_2010.txt,Cities,Municipal,0.9999271631240845
101_Ave_Study_What_We_Heard_Summary_Sept_2016.txt,Cities,Municipal,0.785810649394989
LIDGuide.txt,Cities,Municipal,0.99700528383255
cap078814.txt,Cities,Municipal,0.7662340402603149
TransportationPolicies.txt,Cities,Municipal,0.8610950112342834
strategy_strategic_framework.txt,Cities,Municipal,0.9959806799888611
MunicipalDevelopmentPlan.txt,Cities,Municipal,0.6966289281845093
strategy_implementation_monitoring.txt,Cities,Municipal,0.99958735704422
