,Location,Scale,npn_mobility_docs_score
Climate Action - Province of British Columbia.txt,BC,Provincial,0.8867801427841187
Transportation_Planning.txt,Cities,Municipal,0.6375353932380676
strategy.txt,Cities,Municipal,0.9999358057975769
101_Ave_Study_What_We_Heard_Summary_Sept_2016.txt,Cities,Municipal,0.9228608012199402
TransportationPlan.txt,Cities,Municipal,0.9998325109481812
Transportation_2040_Plan_as_adopted_by_Council.txt,Cities,Municipal,0.9998868703842163
SustainableTransportation.txt,Cities,Municipal,0.9993472695350647
Edmonton_Energy_Transition_Discussion_Paper.txt,Cities,Municipal,0.5732465386390686
Transportation.txt,Cities,Municipal,0.6105801463127136
TransportationPolicies.txt,Cities,Municipal,0.9940757751464844
GreenLineSummary.txt,Cities,Municipal,0.5566006302833557
strategy_strategic_framework.txt,Cities,Municipal,0.9942286014556885
TransportationMasterPlan.txt,Cities,Municipal,0.9997929334640503
8ee0-TransformTO-Ward-18-Talks-The-Environment-TransformTO.txt,Cities,Municipal,0.6284859776496887
MunicipalDevelopmentPlan.txt,Cities,Municipal,0.9796482920646667
strategy_implementation_monitoring.txt,Cities,Municipal,0.9994643926620483
96ad-TransformTO-Ward-17-Lets-TransformTO.txt,Cities,Municipal,0.7043575048446655
2011-11-01-TTRWinnipegTMP-Final-Report.txt,Cities,Municipal,0.9997875690460205
Green Infrastructure & Other Actions - Province of British Columbia.txt,Canada,Federal,0.567636251449585
541_eng.txt,Canada,Federal,0.6997620463371277
