,Location,Scale,npn_social_docs_score
968f-TransformTO-Ward-15-Community-Consultation-Report.txt,Cities,Municipal,0.5964593291282654
EdmontonGreenNetworkContext_Stage1SummaryReport_July2016.txt,Cities,Municipal,0.5611646771430969
GC2020-brochure.txt,Cities,Municipal,0.6825705766677856
MDP_Bylaw_15100.txt,Cities,Municipal,0.7965322136878967
Appendix-15.0-City-of-Edmonton-Municipal-Development-Plan-min.txt,Cities,Municipal,0.7881351709365845
greenest-city-2020-action-plan-2012-2013-implementation-update.txt,Cities,Municipal,0.7628549337387085
greenest-city-action-plan-presentation-to-council-2017-06-27.txt,Cities,Municipal,0.500206470489502
greenest-city-action-plan-implementation-update-2017-2018.txt,Cities,Municipal,0.5159735083580017
GCAP-council-report.txt,Cities,Municipal,0.6850223541259766
gc2020-targets.txt,Cities,Municipal,0.8932132124900818
HGNP-Primer.txt,Cities,Municipal,0.9987369179725647
greenest-city-action-plan-implementation-update-2014-2015.txt,Cities,Municipal,0.6247380375862122
180814rc1431.txt,Cities,Municipal,0.9999127388000488
greenest-city-2020-action-plan-2013-2014-implementation-update.txt,Cities,Municipal,0.6908840537071228
