,Location,Scale,npn_social_docs_score
cap078814.txt,Cities,Municipal,0.78626549243927
999f-TransformTO-Technical-Backgrounder-April-2017.compressed.txt,Cities,Municipal,0.9989991188049316
9630-TransformTO-Report-1-Attachment-C-Technical-Backgrounder-November-2016.txt,Cities,Municipal,0.9988524913787842
Paper1-pcc-brief-climate-resilient-city-economics-finance.txt,Cities,Municipal,0.8321792483329773
Paper5-pcc-brief-climate-resilient-city-transportation-infrastructure.txt,Cities,Municipal,0.9984255433082581
Paper4-pcc-brief-climate-resilient-city-transformational-adaptation.txt,Cities,Municipal,0.9985440373420715
Paper9-pcc-brief-disaster-mangement-emergency-preparedness.txt,Cities,Municipal,0.9990724921226501
