,Location,Scale,npn_mobility_docs_score
Climate Action - Province of British Columbia.txt,BC,Provincial,0.8869250416755676
101_Ave_Study_What_We_Heard_Summary_Sept_2016.txt,Cities,Municipal,0.7392626404762268
TransportationPlan.txt,Cities,Municipal,0.9957806468009949
Transportation_2040_Plan_as_adopted_by_Council.txt,Cities,Municipal,0.9998706579208374
9628-TransformTO-St.-Josephs-Parish-TransformTO-Conversation.txt,Cities,Municipal,0.8393617272377014
SustainableTransportation.txt,Cities,Municipal,0.9993473291397095
97a1-TransformTO-Earth-Day-Presentation-–-Low-Carbon-Living.txt,Cities,Municipal,0.8988043069839478
91db-TransformTO-Attachments-to-the-Modelling-Advisory-Group-Summary-Report-2017.txt,Cities,Municipal,0.5207089781761169
Transportation.txt,Cities,Municipal,0.6280351281166077
TransportationPolicies.txt,Cities,Municipal,0.9940762519836426
GreenLineSummary.txt,Cities,Municipal,0.9987295269966125
8800-TransformTO-TT-Transportation-Workbook-Summary-AODA.txt,Cities,Municipal,0.6960528492927551
strategy_strategic_framework.txt,Cities,Municipal,0.5473403334617615
TransportationMasterPlan.txt,Cities,Municipal,0.9658724069595337
96ad-TransformTO-Ward-17-Lets-TransformTO.txt,Cities,Municipal,0.7616777420043945
2011-11-01-TTRWinnipegTMP-Final-Report.txt,Cities,Municipal,0.9997876882553101
Green Infrastructure & Other Actions - Province of British Columbia.txt,Canada,Federal,0.5681785941123962
