,Location,Scale,npn_social_docs_score
Local Governments & Climate Action - Province of British Columbia.txt,BC,Provincial,0.5832214951515198
8723-TransformTO-University-of-Toronto-Scarborough-Campus-TransformTO-Conversation.txt,Cities,Municipal,0.5598925352096558
Report_7_-_Literature_Review_-_Sustainable_Cities.txt,Cities,Municipal,0.9241732358932495
The Effect of Carbon Pricing on Canadian Households 1 - The School of Public Policy | School of Public Policy.txt,Canada,Federal,0.5267266035079956
