,Location,Scale,npn_social_docs_score
susfuture.txt,PEI,Provincial,0.5745659470558167
Infoitem1CommunityPrioritiesforGreenInfrastructure.txt,Cities,Municipal,0.9994558095932007
enviro_strategy_en.txt,Cities,Municipal,0.8244068026542664
921e-TransformTO-Centre-for-Social-Innovation-TransformTO-Event-Summary-Report-2016.txt,Cities,Municipal,0.9960489869117737
994a-TransformTO-Community-Engagement-Report-2015-–-2016.txt,Cities,Municipal,0.9989984035491943
9832-A1704188_EED_AnnualReport2016_V6c_Sept14_WEB.txt,Cities,Municipal,0.7937904596328735
8f1b-CSISalon-Summary.txt,Cities,Municipal,0.9960489869117737
LIDGuide.txt,Cities,Municipal,0.9992864727973938
8ea2-TransformTO-Report-1-Attachment-B-TransformTO-Phase-1-Community-Engagement-Report-November-2016.txt,Cities,Municipal,0.9990028738975525
97a1-TransformTO-Earth-Day-Presentation-–-Low-Carbon-Living.txt,Cities,Municipal,0.9463526010513306
090310ca1013.txt,Cities,Municipal,0.6639332175254822
91da-TransformTO-Community-Conversations-Summary-Report-of-Four-City-Hosted-TransformTO-Conversations.txt,Cities,Municipal,0.9974774122238159
imp_chapter_6_9_en.txt,Cities,Municipal,0.7257555723190308
8eb4-TransformTO-Ward-13-Brainstorm-for-a-Sustainable-City.txt,Cities,Municipal,0.9933841824531555
917b-TransformTO-Engagement-and-Equity-Report-2016.txt,Cities,Municipal,0.9760020971298218
8723-TransformTO-University-of-Toronto-Scarborough-Campus-TransformTO-Conversation.txt,Cities,Municipal,0.989995002746582
965b-TransformTO-Ward-19-Lets-TransformTO.txt,Cities,Municipal,0.9990355372428894
8ee0-TransformTO-Ward-18-Talks-The-Environment-TransformTO.txt,Cities,Municipal,0.5002303123474121
96ad-TransformTO-Ward-17-Lets-TransformTO.txt,Cities,Municipal,0.7753252387046814
9692-TransformTO-Ward-21-Lets-TransformTO.txt,Cities,Municipal,0.9991027116775513
imp_annex_b_d_en_0.txt,Cities,Municipal,0.880445659160614
imp_chapter_5_4_5_6_en.txt,Cities,Municipal,0.9947504997253418
