,Location,Scale,npn_mobility_docs_score
strategy.txt,Cities,Municipal,0.9999604225158691
101_Ave_Study_What_We_Heard_Summary_Sept_2016.txt,Cities,Municipal,0.56083744764328
TransportationPlan.txt,Cities,Municipal,0.6223592758178711
LIDGuide.txt,Cities,Municipal,0.6353511810302734
SustainableTransportation.txt,Cities,Municipal,0.5069711804389954
transportation-panel-survey-2016-final-report.txt,Cities,Municipal,0.9997783899307251
transportation-panel-survey-2013-final-report.txt,Cities,Municipal,0.9996973276138306
TransportationPolicies.txt,Cities,Municipal,0.9285841584205627
strategy_strategic_framework.txt,Cities,Municipal,0.9971686601638794
transportation-panel-survey-2014-final-report.txt,Cities,Municipal,0.9998205304145813
strategy_implementation_monitoring.txt,Cities,Municipal,0.9997132420539856
2011-11-01-TTRWinnipegTMP-Final-Report.txt,Cities,Municipal,0.5498219728469849
Transportation-panel-survey-2015-final-report.txt,Cities,Municipal,0.9998034834861755
