,Location,Scale,npn_social_docs_score
8f26-TransformTO-Co-benefits-and-Co-harms-of-Climate-Action-Report-January-2017.txt,Cities,Municipal,0.8769544363021851
EdmontonGreenNetworkContext_Stage1SummaryReport_July2016.txt,Cities,Municipal,0.9908965229988098
090310ca1013.txt,Cities,Municipal,0.82066410779953
8c7e-FINAL-2017-TTC-Public-Book-Operating-Program-Summary.txt,Cities,Municipal,0.7879325747489929
backgroundfile-103087.txt,Cities,Municipal,0.9098452925682068
backgroundfile-22258.txt,Cities,Municipal,0.8125677704811096
GreenLineSummary.txt,Cities,Municipal,0.9870415925979614
96ad-TransformTO-2017-Capital-Budget-Briefing-Note-January-2017.txt,Cities,Municipal,0.8850122094154358
Report_3_-_Energy_Mapping.txt,Cities,Municipal,0.9465640783309937
91d8-TransformTO-Modelling-Advisory-Group-Summary-Report-April-2017.txt,Cities,Municipal,0.9077752828598022
HGNP-Primer.txt,Cities,Municipal,0.7407017946243286
NRTEE-Achieving 2050_Slide Deck.txt,Canada,Federal,0.6087913513183594
